objid7,ra,dec,run,rerun,camcol,field,petroRad_r
587725576423342343,257.91582337,64.10728627,1356,40,2,32,3.695873
587725576423342340,257.93428764,64.11213814,1356,40,2,32,8.415101
587725576423276790,258.03445697,64.28134959,1356,40,2,31,6.751657
587725576423276784,257.99694569,64.27669727,1356,40,2,31,6.835309
587725576423342219,258.0041133,64.03787358,1356,40,2,32,4.809054
587725576423342357,257.92385361,64.08308096,1356,40,2,32,5.781933
587725576423342333,258.09561749,64.14130337,1356,40,2,32,4.361183
587725576423342321,258.02870251,64.14215642,1356,40,2,32,3.249975
587725576423342314,258.01999247,64.14523108,1356,40,2,32,4.667162
587725576423276888,257.89313742,64.14114134,1356,40,2,31,2.511568
587725576423276887,257.82466103,64.13325989,1356,40,2,31,5.801606
587725576423276885,257.95286069,64.15259135,1356,40,2,31,5.144659
587725576423276866,257.9150153,64.16857051,1356,40,2,31,6.784491
587725576423276714,257.95668025,64.16820874,1356,40,2,31,4.406535
587725576423276569,258.08204416,64.29890036,1356,40,2,31,3.459798
587725576423342359,258.03349668,64.09739895,1356,40,2,32,3.647974
587725576423342458,258.02920104,64.05549481,1356,40,2,32,4.613902
587725576423407786,258.03882067,63.98284309,1356,40,2,33,5.868676
587725576423342555,258.12698702,64.01661188,1356,40,2,32,4.134362
